(29.812, 85.66159999999999)
(29.875, 85.775)
(29.687, 85.4366)
(29.0, 84.2)
(28.0, 82.4)
(26.937, 80.48660000000001)
(25.875, 78.575)
(24.937, 76.8866)
(24.0, 75.2)
(23.187, 73.73660000000001)
(22.437, 72.3866)
(21.75, 71.15)
(21.062, 69.9116)
(20.5, 68.9)
(19.937, 67.8866)
(19.437, 66.98660000000001)
(18.937, 66.0866)
(18.5, 65.3)
(18.062, 64.5116)
(17.687, 63.836600000000004)
(17.312, 63.16160000000001)
(16.937, 62.4866)
(16.625, 61.925)
(16.312, 61.3616)
(16.062, 60.91160000000001)
(15.812, 60.4616)
(15.562, 60.0116)
(15.312, 59.5616)
(15.062, 59.111599999999996)
(14.875, 58.775)
(14.625, 58.325)
(14.437, 57.986599999999996)
(14.25, 57.65)
(14.125, 57.425)
(13.937, 57.0866)
(13.75, 56.75)
(13.625, 56.525)
(13.437, 56.1866)
(13.312, 55.9616)
(13.125, 55.625)
(13.062, 55.5116)
(12.937, 55.2866)
(12.812, 55.0616)
(12.687, 54.8366)
(12.562, 54.611599999999996)
(12.5, 54.5)
(12.375, 54.275)
(12.312, 54.1616)
(12.187, 53.9366)
(12.125, 53.825)
(12.062, 53.7116)
(11.937, 53.486599999999996)
(11.875, 53.375)
(11.812, 53.2616)
(11.75, 53.15)
(11.687, 53.0366)
(11.625, 52.925)
(11.562, 52.8116)
(11.5, 52.7)
(11.437, 52.5866)
(11.375, 52.475)
(11.375, 52.475)
(11.312, 52.361599999999996)
(11.25, 52.25)
(11.25, 52.25)
(11.187, 52.1366)
(11.187, 52.1366)
(11.125, 52.025)
(11.062, 51.9116)
(11.062, 51.9116)
(11.0, 51.8)
(11.0, 51.8)
(10.937, 51.6866)
(10.937, 51.6866)
(10.937, 51.6866)
(10.875, 51.575)
(10.875, 51.575)
(10.875, 51.575)
(10.812, 51.4616)
(10.812, 51.4616)
(10.812, 51.4616)
(10.75, 51.35)
(10.75, 51.35)
(10.75, 51.35)
(10.687, 51.236599999999996)
(10.687, 51.236599999999996)
(10.687, 51.236599999999996)
(10.625, 51.125)
(10.687, 51.236599999999996)
(10.625, 51.125)
(10.625, 51.125)
(10.625, 51.125)
(10.625, 51.125)
(10.562, 51.0116)
(10.625, 51.125)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.437, 50.7866)
(10.437, 50.7866)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.437, 50.7866)
(10.437, 50.7866)
(10.5, 50.9)
(10.437, 50.7866)
(10.5, 50.9)
(10.437, 50.7866)
(10.5, 50.9)
(10.5, 50.9)
(10.437, 50.7866)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.5, 50.9)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.562, 51.0116)
(10.625, 51.125)
(10.625, 51.125)
(10.625, 51.125)
(10.625, 51.125)
