(29.125, 84.425)
(29.187, 84.53659999999999)
(29.25, 84.65)
(29.312, 84.7616)
(29.375, 84.875)
(29.5, 85.1)
(29.625, 85.325)
(29.687, 85.4366)
(29.75, 85.55)
(29.812, 85.66159999999999)
(29.875, 85.775)
(29.937, 85.8866)
(30.0, 86.0)
(30.062, 86.1116)
(30.125, 86.225)
(30.187, 86.3366)
(30.25, 86.45)
(30.312, 86.5616)
(30.375, 86.675)
(30.375, 86.675)
(30.437, 86.78659999999999)
(30.5, 86.9)
(30.5, 86.9)
(30.562, 87.0116)
(30.562, 87.0116)
(30.625, 87.125)
(30.687, 87.2366)
(30.687, 87.2366)
(30.75, 87.35)
(30.75, 87.35)
(30.812, 87.4616)
(30.812, 87.4616)
(30.812, 87.4616)
(30.875, 87.575)
(30.875, 87.575)
(30.875, 87.575)
(30.875, 87.575)
(30.875, 87.575)
(30.937, 87.6866)
(30.937, 87.6866)
(30.937, 87.6866)
(30.937, 87.6866)
(30.937, 87.6866)
(30.937, 87.6866)
(30.937, 87.6866)
(31.0, 87.8)
(30.937, 87.6866)
(31.0, 87.8)
(31.0, 87.8)
(31.0, 87.8)
(31.0, 87.8)
(31.0, 87.8)
(31.0, 87.8)
(31.0, 87.8)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.062, 87.91159999999999)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.125, 88.025)
(31.187, 88.1366)
(31.125, 88.025)
(31.187, 88.1366)
(31.187, 88.1366)
(31.125, 88.025)
(31.125, 88.025)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
(31.187, 88.1366)
